2026-04-01 23:04:28 | INFO | log file: E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload\Sunflower\output\logs\pipeline_2026-04-01_23-04-28.log
2026-04-01 23:04:28 | INFO | ===== Sunflower: pipeline start =====
2026-04-01 23:04:28 | INFO | paths: lt=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload\Sunflower\input\AthenaLootTierData_Client__final.json lp=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload\Sunflower\input\AthenaLootPackages_Client__final.json minlist=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload\Sunflower\input\items_unique_min.json
2026-04-01 23:04:28 | INFO | output: summary=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload\Sunflower\output\summary lootdata=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\戦利品データ\Reload\Sunflower
2026-04-01 23:04:28 | INFO | flags: hotfix=True prewarm=True image=True workers=8
2026-04-01 23:04:28 | INFO | hotfix start: E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\LootPackage.py
2026-04-01 23:04:29 | INFO | hotfix lp stdout: [STEP1-1] base e:\Fmodel\Exports\FortniteGame\Content\Items\DataTables\AthenaLootPackages_Client.json
[HOTFIX:SEASON1] target=/Game/Items/Datatables/AthenaLootPackages_Client
[406] RowUpdate WorldPKG.AthenaLoot.Weapon.HighShotgun.05.Weight=0.050000 -> OK
[407] RowUpdate WorldPKG.AthenaLoot.Weapon.HighHandgun.05.Weight=0.050000 -> OK
[408] RowUpdate WorldPKG.AthenaLoot.Weapon.HighSMG.05.Weight=0.050000 -> OK
[409] RowUpdate WorldPKG.AthenaLoot.Weapon.HighAssaultAuto.05.Weight=0.050000 -> OK
[410] RowUpdate WorldPKG.AthenaLoot.Weapon.HighSniper.05.Weight=0.050000 -> OK
[411] RowUpdate WorldPKG.AthenaLoot.Weapon.HighRocket.05.Weight=0.050000 -> OK
[HOTFIX:SEASON1] Addrow(TableUpdate) なし -> スキップ
[HOTFIX:SEASON1] done: applied=6, deleted=0, skipped=0
[STEP1-2] merge e:\Fmodel\Exports\FortniteGame\Plugins\GameFeatures\BlastBerryLoot\Content\DataTables\BlastBerryLootPackages.json : replaced=542, added=1623
[HOTFIX:SEASON2] target=/BlastBerryLoot/DataTables/BlastBerryLootPackages
[1120] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.04.Weight=1.000000 -> OK
[1121] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.05.Weight=0.400000 -> OK
[1122] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.06.Weight=0.080000 -> OK
[1123] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.66.Weight=0.000000 -> OK
[1124] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.67.Weight=0.000000 -> OK
[1125] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.68.Weight=0.000000 -> OK
[1126] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.05.Weight=0.400000 -> OK
[1127] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.06.Weight=0.080000 -> OK
[1128] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.07.Weight=0.016000 -> OK
